@relation openjpa_Train_Release_6

@attribute CyclomaticComplexity numeric
@attribute LineOfCode numeric
@attribute LineOfCodeNoComment numeric
@attribute NR numeric
@attribute Authors numeric
@attribute Age numeric
@attribute Churn numeric
@attribute MeanChurn numeric
@attribute MaxChurn numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute Buggy {false,true}

@data
1,491,82,5,2,45,500,100,488,542,488,false
10,107,68,3,1,45,108,36,102,105,102,false
1,104,20,4,2,45,112,28,102,122,102,false
28,308,206,4,2,45,308,77,294,305,294,false
1,39,8,4,2,45,43,10,34,43,34,false
22,459,170,4,1,45,474,118,453,485,453,false
1,81,45,3,1,45,84,28,78,83,78,false
1,36,11,3,1,45,38,12,32,37,32,false
1,87,50,3,1,45,89,29,83,88,83,false
1,86,49,3,1,45,89,29,83,88,83,false
1,88,51,3,1,45,91,30,85,90,85,false
1,35,10,3,1,45,37,12,31,36,31,false
1,91,53,3,1,45,93,31,87,92,87,false
2,86,50,3,1,45,88,29,82,87,82,false
1,76,42,3,1,45,78,26,72,76,72,false
1,65,32,3,1,45,68,22,62,68,62,false
1,59,29,3,1,45,62,20,56,60,56,false
8,118,79,4,2,45,123,30,114,122,114,false
1,189,35,3,1,45,198,66,187,200,187,false
1,284,55,4,1,45,294,73,282,306,282,false
1,53,7,3,1,45,53,17,50,57,50,false
215,2191,1728,8,2,45,2319,289,2108,2250,2108,false
4,59,30,8,2,45,71,8,59,73,59,false
1,48,6,4,1,45,48,12,45,52,45,false
7,77,48,5,2,45,83,16,74,87,74,false
1,40,6,3,1,45,40,13,37,40,37,false
53,349,266,4,1,45,357,89,330,344,330,false
24,207,144,3,1,45,209,69,190,196,190,false
21,213,139,3,1,45,215,71,201,208,201,false
1,36,5,3,1,45,36,12,33,35,33,false
1,70,15,3,1,45,70,23,66,75,66,false
160,838,635,4,2,45,838,209,800,812,800,false
311,2988,2301,13,3,45,3158,242,2831,3176,2831,false
1,435,75,6,3,45,441,73,430,479,430,false
1,423,55,8,3,45,435,54,416,525,416,false
1,317,65,5,2,45,321,64,308,341,308,false
1,59,28,3,1,45,62,20,55,60,55,false
1,70,37,3,1,45,73,24,67,72,67,false
1,37,10,3,1,45,39,13,33,39,33,false
1,64,31,3,1,45,64,21,59,63,59,false
1,135,88,3,1,45,137,45,131,135,131,false
1,36,11,3,1,45,38,12,32,37,32,false
1,63,26,3,1,45,63,21,58,60,58,false
1,63,26,3,1,45,63,21,58,60,58,false
57,330,261,7,3,45,336,48,310,319,310,false
8,136,57,4,1,45,143,35,132,148,132,false
8,67,39,4,2,45,69,17,60,66,60,false
46,482,316,7,2,45,487,69,447,464,447,false
1,24,12,0,0,6,24,0,24,0,0,false
1,38,11,3,1,45,38,12,34,37,34,false
7,94,57,5,2,45,96,19,84,95,84,false
1,69,12,4,1,45,69,17,65,76,65,false
3,90,46,5,2,45,94,18,82,94,82,false
2,55,27,3,1,45,56,18,49,52,49,false
1,67,34,4,2,45,68,17,57,60,57,false
2,55,27,3,1,45,55,18,48,51,48,false
6,80,46,4,2,45,88,22,77,91,77,false
1,30,5,3,1,45,30,10,26,28,26,false
6,62,31,3,1,45,62,20,56,59,56,false
1,43,13,3,1,45,44,14,40,44,40,false
1,43,13,3,1,45,44,14,40,44,40,false
7,76,41,3,1,45,76,25,69,75,69,false
3,89,44,4,2,45,90,22,79,84,79,false
3,81,36,4,2,45,90,22,82,90,82,false
21,184,129,6,2,45,202,33,158,171,158,false
3,73,39,4,2,45,77,19,70,81,70,false
3,82,46,4,2,45,82,20,68,71,68,false
3,68,34,5,2,45,73,14,64,76,64,false
1,30,5,3,1,45,31,10,27,29,27,false
4,80,41,4,2,45,81,20,69,73,69,false
1,42,12,3,1,45,43,14,39,43,39,false
1,42,12,3,1,45,43,14,39,43,39,false
3,49,20,3,1,45,49,16,45,48,45,false
1,41,15,4,2,45,57,14,45,55,45,false
2,68,35,6,2,45,87,14,71,92,71,false
1,38,11,3,1,45,39,13,35,38,35,false
2,38,12,3,1,45,38,12,34,37,34,false
1,37,11,3,1,45,40,13,34,38,34,false
5,79,38,5,2,45,87,17,70,81,70,false
1,30,4,4,2,45,30,7,23,27,23,false
